service_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday
0,20141214,20151212,0,0,0,0,0,0,0
Ss,20141214,20151212,0,0,0,0,0,0,0
Na,20141214,20151212,0,0,0,0,0,0,0
Nb,20141214,20151212,0,0,0,0,0,0,0
3,20141214,20151212,0,0,0,0,0,0,0
Su,20141214,20151212,0,0,0,0,0,0,0
Sf,20141214,20151212,0,0,0,0,0,0,0
Fa,20141214,20151212,0,0,0,0,0,0,0
Fb,20141214,20151212,0,0,0,0,0,0,0
2,20141214,20151212,0,0,0,0,0,0,0
Ys,20141214,20151212,0,0,0,0,0,0,0
Yr,20141214,20151212,0,0,0,0,0,0,0
Yu,20141214,20151212,0,0,0,0,0,0,0
Yt,20141214,20151212,0,0,0,0,0,0,0
