service_id,date,exception_type
Nb,20141214,1
3,20141214,1
0,20141215,1
Ss,20141215,1
Na,20141215,1
Su,20141215,1
0,20141216,1
Ss,20141216,1
Na,20141216,1
Su,20141216,1
0,20141217,1
Ss,20141217,1
Na,20141217,1
Su,20141217,1
0,20141218,1
Ss,20141218,1
Na,20141218,1
Su,20141218,1
0,20141219,1
Ss,20141219,1
Na,20141219,1
Su,20141219,1
Fa,20141219,1
Yr,20141219,1
2,20141220,1
Nb,20141221,1
3,20141221,1
0,20141222,1
Na,20141222,1
Su,20141222,1
Sf,20141222,1
0,20141223,1
Na,20141223,1
Su,20141223,1
Sf,20141223,1
Yt,20141224,1
3,20141225,1
Ys,20141225,1
3,20141226,1
Ys,20141226,1
2,20141227,1
Nb,20141228,1
3,20141228,1
0,20141229,1
Na,20141229,1
Sf,20141229,1
0,20141230,1
Na,20141230,1
Sf,20141230,1
2,20141231,1
Yu,20141231,1
Nb,20150101,1
3,20150101,1
0,20150102,1
Na,20150102,1
Sf,20150102,1
Fa,20150102,1
Yr,20150102,1
2,20150103,1
Nb,20150104,1
3,20150104,1
0,20150105,1
Na,20150105,1
Sf,20150105,1
Fa,20150105,1
Fb,20150105,1
Yr,20150105,1
Nb,20150106,1
3,20150106,1
0,20150107,1
Ss,20150107,1
Na,20150107,1
Su,20150107,1
0,20150108,1
Ss,20150108,1
Na,20150108,1
Su,20150108,1
0,20150109,1
Ss,20150109,1
Na,20150109,1
Su,20150109,1
Fa,20150109,1
Yr,20150109,1
2,20150110,1
Nb,20150111,1
3,20150111,1
0,20150112,1
Ss,20150112,1
Na,20150112,1
Su,20150112,1
0,20150113,1
Ss,20150113,1
Na,20150113,1
Su,20150113,1
0,20150114,1
Ss,20150114,1
Na,20150114,1
Su,20150114,1
0,20150115,1
Ss,20150115,1
Na,20150115,1
Su,20150115,1
0,20150116,1
Ss,20150116,1
Na,20150116,1
Su,20150116,1
Fa,20150116,1
Yr,20150116,1
2,20150117,1
Nb,20150118,1
3,20150118,1
0,20150119,1
Ss,20150119,1
Na,20150119,1
Su,20150119,1
0,20150120,1
Ss,20150120,1
Na,20150120,1
Su,20150120,1
0,20150121,1
Ss,20150121,1
Na,20150121,1
Su,20150121,1
0,20150122,1
Ss,20150122,1
Na,20150122,1
Su,20150122,1
0,20150123,1
Ss,20150123,1
Na,20150123,1
Su,20150123,1
Fa,20150123,1
Yr,20150123,1
2,20150124,1
Nb,20150125,1
3,20150125,1
0,20150126,1
Ss,20150126,1
Na,20150126,1
Su,20150126,1
0,20150127,1
Ss,20150127,1
Na,20150127,1
Su,20150127,1
0,20150128,1
Ss,20150128,1
Na,20150128,1
Su,20150128,1
0,20150129,1
Ss,20150129,1
Na,20150129,1
Su,20150129,1
0,20150130,1
Ss,20150130,1
Na,20150130,1
Su,20150130,1
Fa,20150130,1
Yr,20150130,1
2,20150131,1
Nb,20150201,1
3,20150201,1
0,20150202,1
Ss,20150202,1
Na,20150202,1
Su,20150202,1
0,20150203,1
Ss,20150203,1
Na,20150203,1
Su,20150203,1
0,20150204,1
Ss,20150204,1
Na,20150204,1
Su,20150204,1
0,20150205,1
Ss,20150205,1
Na,20150205,1
Su,20150205,1
0,20150206,1
Ss,20150206,1
Na,20150206,1
Su,20150206,1
Fa,20150206,1
Yr,20150206,1
2,20150207,1
Nb,20150208,1
3,20150208,1
0,20150209,1
Ss,20150209,1
Na,20150209,1
Su,20150209,1
0,20150210,1
Ss,20150210,1
Na,20150210,1
