"route_id","agency_id","route_short_name","route_long_name","route_type","route_color"
"87001",,"1","Söflingen–Böfingen","0",
"87003",,"3","Wiblingen (Alte Siedlung)–Wissenschaftsstadt ","3",
"99003",,"3mSAM","MobilSAM Botanischer Garten-Science Park II","3",
"87004",,"4","Grimmelfingen–Kuhberg–Böfingen Süd ","3",
"87005",,"5","Ludwigsfeld / Wiley–Wissenschaftsstadt","3",
"87006",,"6","Donaustadion–Eselsberg Hasenkopf–Universität Süd ","3",
"87007",,"7","Willy-Brandt-Platz–Jungingen–Lehrer Feld","3",
"87008",,"8","Wiblingen (Pranger)–Blautal-Center ","3",
"99008",,"8mSAM","MobilSAM Kuhberg Schulzentrum-Donautal-Wiblingen Pranger","3",
"87009",,"9","Wiblingen (Reutlinger Str.)–Rathaus Ulm ","3",
"87010",,"10","Donautal–Hauptbahnhof","3",
"87011",,"11","Roter Berg–Gleißelstetten ","3",
"99011",,"11mSAM","MobilSAM Söflingen-Gleißelstetten-Roter Berg","3",
"87012",,"12","Auferstehungskirche–Eichenhang–Auferstehungskirche ","3",
"87013",,"13","Kuhberg–Universität Süd","3",
"99013",,"13mSAM","MobilSAM Bahnhof Söflingen-Blaubeurer Straße / SAM-Gebiet Söflingen ","3",
"87018",,"18","Ringverkehr Donautal","3",
"88020",,"20","Ulm-Einsingen-Ermingen-Ulm","3",
"88021",,"21","Ulm-Erbach-Ehingen / Laupheim ","3",
"71022",,"22","Ulm-Dellmensingen-Laupheim","3",
"76023",,"23","Ulm-Unterweiler-Schnürpflingen-Beuren ","3",
"99022",,"22/23","Wiblingen Pranger-Unterweiler / Gögglingen / Donaustetten","3",
"81024",,"24","Ulm-Hüttisheim-Burgrieden-Laupheim ","3",
"88030",,"30","Ulm-Laichingen-Westerheim-Bad Urach","3",
"88037",,"37/38","Ulm-Blaustein-Markbronn / Bermaringen ","3",
"88044",,"44","Mähringen-Lehr-Jungingen","3",
"88045",,"45","Ulm ZOB–Universität Süd–Mähringen / Jungingen ","3",
"88046",,"46","Ulm-Amstetten-Geislingen (Steige)","3",
"88048",,"48","Gesamtverkehr Ulm-Lehr-Mähringen ","3",
"88049",,"49","Ulm-Lehr-Dornstadt-Nellingen","3",
"88058",,"58","Ulm-Göttingen-Bernstadt ","3",
"88059",,"59","Ulm-Langenau-Niederstotzingen-Heidenheim","3",
"88070",,"70","Ulm-Dietenheim (-Illertissen) ","3",
"91071",,"71","Ulm-Neu-Ulm Industriegebiet-Ludwigsfeld","3",
"99071",,"71mSAM","MobilSAM Neu-Ulm ZUP-Wiblinger Steig / Starkfeld ","3",
"91073",,"73/76","Ulm-Senden-Vöhringen / Weißenhorn","3",
"78074",,"74","Ulm-Illerkirchberg-Staig-Bihlafingen ","3",
"94077",,"77","Ulm-Holzschwang-Hittistetten","3",
"99077",,"77mSAM","MobilSAM Neu-Ulm ZUP-Schwaighofen / Reutti / Jedelhausen / Hausen / Holzschwang ","3",
"95078",,"78","Ulm-Finningen-Weißenhorn","3",
"99078",,"78mSAM","MobilSAM Neu-Ulm ZUP-Finningen ","3",
"91079",,"79","Ulm-Neu-Ulm Pfuhler Ried","3",
