stop_id,stop_code,stop_name,location_type,parent_station,stop_lon,stop_lat
900150102,Liststraße,Liststraße,0,9001501,9.94908842283,48.3696734697
900160001,Pranger,Pranger,0,9001600,9.98832689491,48.3609300167
900136201,Telefunken,Telefunken,0,9001362,9.97336252029,48.395665814
900160003,Pranger,Pranger,0,9001600,9.98858971182,48.3601960942
900101502,Herdbrücke,Herdbrücke,0,9001015,9.99576366159,48.3964447058
900110201,Loherstraße,Loherstraße,0,9001102,9.96921227904,48.4322023313
900110202,Loherstraße,Loherstraße,0,9001102,9.96869985673,48.4327460567
900160002,Pranger,Pranger,0,9001600,9.98817972222,48.360925
900172902,Meininger Allee,Meininger Allee,0,9001729,10.0084520807,48.3948874315
900172901,Meininger Allee,Meininger Allee,0,9001729,10.0081836379,48.39479421
900107312,Thüringenweg,Thüringenweg,0,9001073,10.0194129477,48.4332048563
900107311,Thüringenweg,Thüringenweg,0,9001073,10.0196054579,48.4332365
900134301,Sportplatz TSG,Sportplatz TSG,0,9001343,9.94493861111,48.3978038889
9001736,Wiley Club,Wiley Club,1,,10.0077774432,48.3809226844
9001735,Marlene-Dietrich-Straße,Marlene-Dietrich-Straße,1,,10.0086752778,48.3850094444
9001734,Bradleystraße,Bradleystraße,1,,10.0117130491,48.3857227271
900163501,Reutlinger Straße,Reutlinger Straße,0,9001635,9.97011388889,48.35455
9001732,Escheugraben,Escheugraben,1,,10.0060536111,48.3876563889
9001731,Steubenstraße,Steubenstraße,1,,10.0078056154,48.3902008532
9001097,Neutorstraße,Neutorstraße,1,,9.98612558934,48.4028272199
9001634,Tannenplatz Zentrum,Tannenplatz Zentrum,1,,9.9729123332,48.3514827219
9001635,Reutlinger Straße,Reutlinger Straße,1,,9.97003861111,48.3544880556
9001632,Kemptener Straße,Kemptener Straße,1,,9.97295657222,48.3464496067
9001633,Saulgauer Straße,Saulgauer Straße,1,,9.96829681316,48.3483189455
9001739,Donauklinik,Donauklinik,1,,9.99348796068,48.3932697959
9001004,Pauluskirche,Pauluskirche,1,,9.99503440349,48.404748323
900173202,Escheugraben,Escheugraben,0,9001732,10.0060536111,48.3876563889
900173201,Escheugraben,Escheugraben,0,9001732,10.0052567271,48.3881024151
900124702,Manfred-Börner-Straße,Manfred-Börner-Straße,0,9001247,9.94275357912,48.4197437633
900136202,Telefunken,Telefunken,0,9001362,9.9701575,48.3951027778
900124701,Manfred-Börner-Straße,Manfred-Börner-Straße,0,9001247,9.94272,48.4197733333
9001321,Schongauer Weg,Schongauer Weg,1,,9.9485,48.3934194444
9001322,Leonberger Weg,Leonberger Weg,1,,9.95021856965,48.3918256875
9001323,Gleißelstetten,Gleißelstetten,1,,9.94709583333,48.3877536111
9001324,Fünf-Bäume-Weg Mitte,Fünf-Bäume-Weg Mitte,1,,9.94501972222,48.3965033333
9001325,Maienweg Nord,Maienweg Nord,1,,9.94570666667,48.3948177778
9001329,Oberer Roter Berg,Oberer Roter Berg,1,,9.93533703913,48.401416273
900135904,Haßlerstraße,Haßlerstraße,0,9001359,9.97806722222,48.3884594444
900136701,Auf der Gölde,Auf der Gölde,0,9001367,9.96819861111,48.4006925
900138001,Saarlandstraße,Saarlandstraße,0,9001380,9.97073265251,48.3880157125
900138002,Saarlandstraße,Saarlandstraße,0,9001380,9.97031722222,48.3879344444
900121001,Burgunderweg,Burgunderweg,0,9001210,9.96134223504,48.4087949217
900107402,Haslacher Weg,Haslacher Weg,0,9001074,10.0137347215,48.429860953
900107401,Haslacher Weg,Haslacher Weg,0,9001074,10.0151992845,48.4311134021
900270202,"Blaustein, Galgenbergstraße",Galgenbergstraße,0,9002702,9.91635638889,48.4146722222
900270201,"Blaustein, Galgenbergstraße",Galgenbergstraße,0,9002702,9.91567904732,48.4153074384
900135903,Haßlerstraße,Haßlerstraße,0,9001359,9.97862138889,48.3893241667
900139502,Barbaralinde,Barbaralinde,0,9001395,9.95006361049,48.3790745656
900100009,ZOB,ZOB,0,9001000,9.98361222222,48.3982872222
900139501,Barbaralinde,Barbaralinde,0,9001395,9.95047057902,48.3792982221
9001600,Pranger,Pranger,1,,9.98858971182,48.3601960942
900100003,ZOB,ZOB,0,9001000,9.98385056212,48.3979154276
900100002,ZOB,ZOB,0,9001000,9.98383124117,48.3980229938
900100001,ZOB,ZOB,0,9001000,9.98383278315,48.3981227666
9001099,SWU Betriebshof,SWU Betriebshof,1,,9.96826583333,48.3963811111
9001552,Firma Rheinzink,Firma Rheinzink,1,,9.92544627258,48.3560278679
9001550,Firma Nanz,Firma Nanz,1,,9.94381888889,48.3671463889
9001555,Firma Wieland,Firma Wieland,1,,9.94423055556,48.3565972222
9001554,Firma UPS,Firma UPS,1,,9.92631333333,48.3539605556
9001395,Barbaralinde,Barbaralinde,1,,9.95006361049,48.3790745656
900170302,Jakobsruhe,Jakobsruhe,0,9001703,9.98946910199,48.3818580858
900170301,Jakobsruhe,Jakobsruhe,0,9001703,9.99023138889,48.3814225
9001391,Oberer Kuhberg,Oberer Kuhberg,1,,9.95300833333,48.3818425
9001390,Kuhberg Schulzentrum,Kuhberg Schulzentrum,1,,9.95639698932,48.3835689334
9001392,Am Hochsträß,Am Hochsträß,1,,9.94884876024,48.3804711735
9001254,Lise-Meitner-Straße,Lise-Meitner-Straße,1,,9.93525472222,48.4187977778
9001255,Heilmeyersteige,Heilmeyersteige,1,,9.95074722809,48.4135118652
9001256,Virchowstraße,Virchowstraße,1,,9.94617369243,48.4140844664
9001257,Söflinger Weinberge,Söflinger Weinberge,1,,9.94200555123,48.4122282331
9001251,Kelternweg,Kelternweg,1,,9.96023638889,48.413595
900173501,Marlene-Dietrich-Straße,Marlene-Dietrich-Straße,0,9001735,10.0087355556,48.38496
900173502,Marlene-Dietrich-Straße,Marlene-Dietrich-Straße,0,9001735,10.0086752778,48.3850094444
900165302,"Gögglingen, Riedlenstraße",Riedlenstraße,0,9001653,9.936715,48.33487
900122501,Bleicher Hag,Bleicher Hag,0,9001225,9.97187972222,48.4060236111
900176802,Hafnerweg,Hafnerweg,0,9001768,10.0181247222,48.3661166667
900176801,Hafnerweg,Hafnerweg,0,9001768,10.0178692932,48.366432596
900139201,Am Hochsträß,Am Hochsträß,0,9001392,9.94884876024,48.3804711735
900171402,Kasernstraße,Kasernstraße,0,9001714,10.0070268319,48.396610748
900171401,Kasernstraße,Kasernstraße,0,9001714,10.006535535,48.3967344591
9001280,Beim Türmle,Beim Türmle,1,,9.95646944444,48.40655
9001044,Neuer Friedhof,Neuer Friedhof,1,,9.9865325,48.4157891667
900126101,Traminerweg,Traminerweg,0,9001261,9.95699484589,48.4113781831
900125102,Kelternweg,Kelternweg,0,9001251,9.96023638889,48.413595
900125101,Kelternweg,Kelternweg,0,9001251,9.95996444462,48.4133673495
900130101,Ottiliengasse,Ottiliengasse,0,9001301,9.95561167607,48.3968636325
900130102,Ottiliengasse,Ottiliengasse,0,9001301,9.95551138889,48.3966844444
900125602,Virchowstraße,Virchowstraße,0,9001256,9.94617369243,48.4140844664
9001078,Ludwig-Beck-Straße,Ludwig-Beck-Straße,1,,10.0068939333,48.4220850952
9001079,Eichenplatz,Eichenplatz,1,,10.0032022222,48.4191294444
9001173,Auf dem Hart,Auf dem Hart,1,,9.98758034357,48.4392170356
900133302,Torstraße,Torstraße,0,9001333,9.95191863516,48.3951680667
900142202,"Eggingen, Rathaus",Rathaus,0,9001422,9.8788375,48.3639183333
900142201,"Eggingen, Rathaus",Rathaus,0,9001422,9.87881299395,48.3637083126
900133301,Torstraße,Torstraße,0,9001333,9.9518685785,48.3952329948
9001070,Ostpreußenweg,Ostpreußenweg,1,,10.0304153141,48.4343540454
9001733,Riedstraße,Riedstraße,1,,10.0099077778,48.3879094444
9001072,Mecklenburgweg,Mecklenburgweg,1,,10.02384347,48.4344775929
9001073,Thüringenweg,Thüringenweg,1,,10.0194129477,48.4332048563
9001074,Haslacher Weg,Haslacher Weg,1,,10.0137956697,48.4301167126
900163101,St.-Gallener-Straße,St.-Gallener-Straße,0,9001631,9.97868152779,48.3500890024
900163102,St.-Gallener-Straße,St.-Gallener-Straße,0,9001631,9.97874253128,48.3497106462
900141304,"Einsingen, Hirsch",Hirsch,0,9001413,9.90016222222,48.3528394444
900141303,"Einsingen, Hirsch",Hirsch,0,9001413,9.90035944444,48.3527802778
900135212,Theodor-Heuss-Platz,Theodor-Heuss-Platz,0,9001352,9.96831622245,48.3947427114
900270801,"Blaustein, Am Blaugarten",Am Blaugarten,0,9002708,9.92909712004,48.4111868091
900270802,"Blaustein, Am Blaugarten",Am Blaugarten,0,9002708,9.92918196273,48.4110516218
900172301,Gartenstraße,Gartenstraße,0,9001723,10.0002252839,48.3924686725
900107212,Mecklenburgweg,Mecklenburgweg,0,9001072,10.02384347,48.4344775929
900107211,Mecklenburgweg,Mecklenburgweg,0,9001072,10.0238636336,48.4344504099
900135211,Theodor-Heuss-Platz,Theodor-Heuss-Platz,0,9001352,9.96844681403,48.3946701012
900171902,Waldeck,Waldeck,0,9001719,10.0096522222,48.3944741667
900125601,Virchowstraße,Virchowstraße,0,9001256,9.94593528899,48.4140397568
900109701,Neutorstraße,Neutorstraße,0,9001097,9.98612558934,48.4028272199
900171901,Waldeck,Waldeck,0,9001719,10.0102514928,48.3942593732
9001672,"Donaustetten, Illerkirchberger Str.",Illerkirchberger Str.,1,,9.93190295138,48.3281559544
9001261,Traminerweg,Traminerweg,1,,9.95702237212,48.411531048
