route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
87907,nightbus,87907Rnightbus-2701,,1,,87907Rnightbus-2701
87907,nightbus,87907Hnightbus-2730,,0,,87907Hnightbus-2730
87907,nightbus,87907Rnightbus-2601,,1,,87907Rnightbus-2701
87907,nightbus,87907Rnightbus-2801,,1,,87907Rnightbus-2701
87907,nightbus,87907Hnightbus-2530,,0,,87907Hnightbus-2730
87907,nightbus,87907Hnightbus-2630,,0,,87907Hnightbus-2730
87908,nightbus,87908Hnightbus-2630,,0,,87908Hnightbus-2630
87908,nightbus,87908Rnightbus-2759,,1,,87908Rnightbus-2759
87908,nightbus,87908Rnightbus-2659,,1,,87908Rnightbus-2759
87908,nightbus,87908Hnightbus-2730,,0,,87908Hnightbus-2630
87908,nightbus,87908Hnightbus-2530,,0,,87908Hnightbus-2630
87908,nightbus,87908Rnightbus-2559,,1,,87908Rnightbus-2759
87045,0,87045H0-1319,,0,,87045H0-1319
87045,0,87045R0-1645,,1,,87045R0-1645
87045,0,87045R0-1600,,1,,87045R0-1600
87045,0,87045R0-0823,,1,,87045R0-1600
87045,0,87045R0-0704,,1,,87045R0-0704
87045,0,87045R0-1545,,1,,87045R0-1645
87045,0,87045R0-0855,,1,,87045R0-1645
87045,0,87045R0-0755,,1,,87045R0-1645
87045,0,87045R0-0915,,1,,87045R0-1600
87045,0,87045H0-0941,,0,,87045H0-0941
87045,0,87045H0-0839,,0,,87045H0-1319
87045,0,87045H0-0639,,0,,87045H0-0639
87045,0,87045H0-0831,,0,,87045H0-0941
87045,0,87045R0-0805,,1,,87045R0-0805
87045,0,87045H0-0743,,0,,87045H0-1319
87045,0,87045H0-1419,,0,,87045H0-1319
87045,0,87045H0-1519,,0,,87045H0-1319
87045,0,87045H0-1719,,0,,87045H0-1319
87045,0,87045R0-1745,,1,,87045R0-1645
87045,0,87045H0-1553,,0,,87045H0-0941
87045,0,87045H0-1619,,0,,87045H0-1319
87045,0,87045R0-1700,,1,,87045R0-1600
87045,0,87045H0-1648,,0,,87045H0-0941
87045,0,87045H0-0943,,0,,87045H0-1319
87045,0,87045R0-1445,,1,,87045R0-1645
87045,0,87045R0-1345,,1,,87045R0-1645
87045,0,87045H0-0741,,0,,87045H0-0941
